[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1251 UspWriteActual(..., 3200)
[153522]: 507ms SPX_TRACE_INFO:  usp_connection.cpp:775 TS:156, Write 3200 bytes audio data.
[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:290 ProcessAudio: site->AdapterStartingTurn()
[153522]: 507ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1873 AdapterStartingTurn
[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:688 [0x7f8f5b82aa00]CSpxAudioStreamSession::ProcessNextAudio: done processing all audio chunks
[418114]: 561ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2024-01-02T16:45:26.6869690Z, size:2944.
[418114]: 561ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 ProcessAudio: Non-acknowledged size = 3200 bytes (100 msec)
[418114]: 561ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:161 [0x6000019a93b0] m_bytesTransited = 6144, unacknowledgedAudioDuration = 100 msec, packetAudioDelay = 0 msec
[153522]: 561ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:295 ProcessAudio: (0x0x7f8f5cb0b010) Sending Audio ... size=2944
[153522]: 562ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1251 UspWriteActual(..., 2944)
[153522]: 562ms SPX_TRACE_INFO:  usp_connection.cpp:775 TS:210, Write 2944 bytes audio data.
[153522]: 562ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:688 [0x7f8f5b82aa00]CSpxAudioStreamSession::ProcessNextAudio: done processing all audio chunks
[153522]: 683ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:247 OnWebSocketOpened
